Name,Score,Review,Link,Addr
유정우함흥냉면,0.0,0,https://place.map.kakao.com/1197654338,"
서울 관악구 봉천로 190
(지번) 신림동 1445-14
"
왕냉면왕돈까스,4.1,0,https://place.map.kakao.com/15800810,"
서울 관악구 당곡길 6
(지번) 봉천동 970-21
"
육쌈냉면 신림점,2.1,44,https://place.map.kakao.com/10667541,"
서울 관악구 신림로59길 15-13
(지번) 신림동 1638-20
"
이촌냉면,0.0,0,https://place.map.kakao.com/17681603,"
서울 영등포구 영등포로 지하 221 영등포지하상가
(지번) 영등포동3가 31
"
냉면을부탁해 목동직영점,0.0,8,https://place.map.kakao.com/264344147,"
서울 양천구 목동중앙서로 43
(지번) 목동 774-9
"
오장동흥남집 신림직영점,3.2,14,https://place.map.kakao.com/16505513,"
서울 관악구 신림로 299
(지번) 신림동 1637-11
"
수라냉면,3.6,10,https://place.map.kakao.com/16381973,"
서울 금천구 금하로 633-1 1층
(지번) 시흥동 879-24
"
함흥냉면,3.7,0,https://place.map.kakao.com/16823077,"
서울 강서구 곰달래로49길 17
(지번) 화곡동 836-1
"
정인면옥 본점,3.6,289,https://place.map.kakao.com/23699720,"
서울 영등포구 국회대로76길 10 기독교침례회총회빌딩 1층
(지번) 여의도동 13-1
"
설악산칡냉면 본점,3.5,49,https://place.map.kakao.com/16622224,"
서울 양천구 목동중앙남로3가길 59
(지번) 목동 722-5
"
여우골냉면,3.7,1,https://place.map.kakao.com/20532938,"
서울 금천구 독산로40길 20
(지번) 시흥동 804-7
"
BJ냉면,4.0,2,https://place.map.kakao.com/484336208,"
서울 동작구 보라매로3길 29 해태보라매타워 지하1층 77, 82호
(지번) 신대방동 708
"
차고집냉면 동작점,4.0,11,https://place.map.kakao.com/919832917,"
서울 동작구 국사봉길 74 1층 106호
(지번) 상도동 299-58
"
명가냉면,4.0,0,https://place.map.kakao.com/1886079530,"
서울 강서구 곰달래로53길 15
(지번) 화곡동 800-2
"
지랄냉면,0.0,0,https://place.map.kakao.com/1610709809,"
서울 금천구 시흥대로88가길 23 1층
(지번) 독산동 1064-29
"
청수,2.9,170,https://place.map.kakao.com/20746105,"
서울 영등포구 국제금융로 112
(지번) 여의도동 53-11
"
선주후면 어만두,4.0,72,https://place.map.kakao.com/1048672020,"
서울 영등포구 국제금융로2길 37 스퀘어가든 지하1층 102호
(지번) 여의도동 26
"
킹열무냉면 보라매점,0.0,0,https://place.map.kakao.com/1607118690,"
서울 동작구 보라매로5길 43 보라매삼성쉐르빌 지하 1층 104호
(지번) 신대방동 395-66
"
팔당냉면 신림점,0.0,0,https://place.map.kakao.com/1788947995,"
서울 관악구 신림동길 26
(지번) 신림동 1458
"
속초면옥 보라매점,0.0,0,https://place.map.kakao.com/27404158,"
서울 동작구 보라매로5가길 16
(지번) 신대방동 395-69
"
송주불냉면,0.0,0,https://place.map.kakao.com/1553053508,"
서울 금천구 독산로40길 36
(지번) 시흥동 805-33
"
얼음골칡냉면,0.0,0,https://place.map.kakao.com/605548755,"
서울 강서구 곰달래로 236
(지번) 화곡동 793
"
일호면옥,3.9,72,https://place.map.kakao.com/27593981,"
서울 영등포구 의사당대로 127 상가 1층 110호
(지번) 여의도동 36
"
평가옥 여의도점,2.9,25,https://place.map.kakao.com/25539357,"
서울 영등포구 여의대방로 379 제일빌딩 지하1층 10~12호
(지번) 여의도동 44-35
"
난향면옥,5.0,3,https://place.map.kakao.com/1629736739,"
서울 관악구 난향길 12 1층
(지번) 신림동 676-35
"
